/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_48_20200107.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_41b_20221122.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_60_20190729.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_72b_20170224.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_33_20200923.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_76_20210528.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_72_20161221.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_40_20171117.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_15_20190809.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_44_20190909.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_41_20210112.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_71_20191010.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_77_20210306.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_49_20171222.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_11_20190927.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_50_20190716.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_31_20220826.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_pt5_20200117.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_47_20200217.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_46_20190917.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litqsmall_00016.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litqsmall_00033.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litqsmall_00001.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litqsmall_00000.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litqsmall_00027.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litqsmall_00036.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litqsmall_00004.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litqsmall_00003.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litqsmall_00037.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litqsmall_00005.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litqsmall_00017.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litqsmall_00044.pt
8.29696655273438E-05,7.82012939453125E-05,8.24928283691406E-05,8.10623168945313E-05,8.392333984375E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7.2479248046875E-05,7.48634338378906E-05,6.72340393066406E-05,7.96318054199219E-05,7.34329223632813E-05,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,6.62803649902344E-05,6.29425048828125E-05,6.19888305664063E-05,6.53266906738281E-05,7.29560852050781E-05,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6.07967376708984E-05,6.96182250976563E-05,4.98294830322266E-05,5.98430633544922E-05,5.79357147216797E-05,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,7.2479248046875E-05,6.15119934082031E-05,4.88758087158203E-05,5.57899475097656E-05,6.58035278320313E-05,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,6.38961791992188E-05,5.93662261962891E-05,5.24520874023438E-05,5.93662261962891E-05,4.52995300292969E-05,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000166893005371094,9.96589660644531E-05
5.96046447753906E-05,4.88758087158203E-05,6.72340393066406E-05,4.9591064453125E-05,4.64916229248047E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5.00679016113281E-05,6.67572021484375E-05,4.45842742919922E-05,5.60283660888672E-05,5.62667846679688E-05,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,5.14984130859375E-05,5.84125518798828E-05,4.00543212890625E-05,6.38961791992188E-05,4.12464141845703E-05,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,4.69684600830078E-05,6.34193420410156E-05,3.91006469726563E-05,4.02927398681641E-05,5.93662261962891E-05,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,3.69548797607422E-05,4.24385070800781E-05,5.88893890380859E-05,3.83853912353516E-05,6.07967376708984E-05,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,3.64780426025391E-05,5.7220458984375E-05,4.22000885009766E-05,6.4849853515625E-05,5.38825988769531E-05,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00012969970703125,9.05990600585938E-05
5.84125518798828E-05,5.29289245605469E-05,5.60283660888672E-05,4.14848327636719E-05,5.340576171875E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5.31673431396484E-05,4.17232513427734E-05,4.52995300292969E-05,5.76972961425781E-05,3.93390655517578E-05,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,3.24249267578125E-05,5.57899475097656E-05,3.79085540771484E-05,4.79221343994141E-05,4.52995300292969E-05,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5.67436218261719E-05,5.05447387695313E-05,3.79085540771484E-05,5.62667846679688E-05,5.60283660888672E-05,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,3.17096710205078E-05,3.88622283935547E-05,3.4332275390625E-05,5.76972961425781E-05,4.38690185546875E-05,,,,,,,
